"Process","Gene_label","Group","Group_label","System","Mean","LogMean"
"Nitrogen fixation","nifK","NH3","NH_High","NH system",143.333333333333,2.1593666416337
"Nitrogen fixation","nifK","NO1","NO_Low","NO system",173.333333333333,2.24138043414761
"Nitrogen fixation","nifK","NO2","NO_Mid","NO system",149.333333333333,2.1770552871583
"Nitrogen fixation","nifK","NO3","NO_High","NO system",150.666666666667,2.18089014193745
"Urea decomposition","ureA","CK1","CK1","NH system",696.666666666667,2.84364797361902
"Urea decomposition","ureA","CK2","CK2","NO system",534.666666666667,2.72889462204368
"Urea decomposition","ureA","NH1","NH_Low","NH system",646.666666666667,2.81135154588012
"Urea decomposition","ureA","NH2","NH_Mid","NH system",534.666666666667,2.72889462204368
"Urea decomposition","ureA","NH3","NH_High","NH system",630.666666666667,2.80048795958443
"Urea decomposition","ureA","NO1","NO_Low","NO system",627.333333333333,2.79819009982215
"Urea decomposition","ureA","NO2","NO_Mid","NO system",564,2.75204844781944
"Urea decomposition","ureA","NO3","NO_High","NO system",568,2.75511226639507
"Urea decomposition","ureB","CK1","CK1","NH system",112,2.05307844348342
"Urea decomposition","ureB","CK2","CK2","NO system",59.3333333333333,1.78055732014952
"Urea decomposition","ureB","NH1","NH_Low","NH system",77.3333333333333,1.89394660755207
"Urea decomposition","ureB","NH2","NH_Mid","NH system",67.3333333333333,1.83463260633609
"Urea decomposition","ureB","NH3","NH_High","NH system",69.3333333333333,1.84716120057803
"Urea decomposition","ureB","NO1","NO_Low","NO system",62,1.79934054945358
"Urea decomposition","ureB","NO2","NO_Mid","NO system",74.6666666666667,1.87890460247346
"Urea decomposition","ureB","NO3","NO_High","NO system",67.3333333333333,1.83463260633609
"Urea decomposition","ureC","CK1","CK1","NH system",83.3333333333333,1.92599926645616
"Urea decomposition","ureC","CK2","CK2","NO system",56.6666666666667,1.76092484840913
"Urea decomposition","ureC","NH1","NH_Low","NH system",76.6666666666667,1.89023466630636
"Urea decomposition","ureC","NH2","NH_Mid","NH system",42,1.63346845557959
"Urea decomposition","ureC","NH3","NH_High","NH system",48.6666666666667,1.69606501369261
"Urea decomposition","ureC","NO1","NO_Low","NO system",44.6666666666667,1.65959931243674
"Urea decomposition","ureC","NO2","NO_Mid","NO system",62,1.79934054945358
"Urea decomposition","ureC","NO3","NO_High","NO system",48.6666666666667,1.69606501369261
